index,date,amount,merchant,receipt_url,verdict,receipt_total,reason
24,2024-07-06,$82.32,DISCO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-20 at 10.55.22 PM.png,ERROR,,Image download failed
35,2024-07-17,$17.55,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-17_17_55_3.jpg,VERIFIED,17.55,The receipt matches the details provided.
38,2024-07-17,$5.00,LAZ PARKING M32810,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,MISMATCH,5.0,Amount does not match the expected value of $5.00.
44,2024-07-22,$54.86,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,MISMATCH,54.86,The image provided does not show the total amount of $54.86 as indicated in the JSON.
46,2024-07-22,$8.15,PARK HAPPY LLC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-21 at 3.00.52 AM.png,ERROR,,Image download failed
56,2024-07-27,$40.33,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-27_40_33.jpg,VERIFIED,40.33,The receipt matches the provided details.
66,2024-08-02,$39.52,TST*NADEENS HERMITAGE HA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstnadeens_hermitage_ha_2024-08-02_39_52.jpg,VERIFIED,$39.52,The receipt matches the provided details.
68,2024-08-03,$251.33,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-08-03_251_33_3.jpg,VERIFIED,251.33,"The receipt matches the details provided: Amount of $251.33, Merchant as APPLE.COM/BILL, and Date of"
75,2024-08-06,$82.32,DISCO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-20 at 10.56.42 PM.png,ERROR,,Image download failed
84,2024-08-10,$94.10,DD *DOORDASH JIMNNICKS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_jimnnicks_2024-08-10_94_1.jpg,VERIFIED,$94.1,"The image shows a receipt with the following details: Amount: $94.1, Merchant: DD *DOORDASH JIMNNICK"
135,2024-08-24,$7.63,PARK HAPPY LLC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/Screenshot 2025-11-21 at 3.02.18 AM.png,ERROR,,Image download failed
154,2024-08-29,$67.81,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-08-29_67_81_3.jpg,MISMATCH,67.81,The receipt does not match the provided values for amount and merchant.
155,2024-08-29,$9.29,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-29_9_29.jpg,VERIFIED,$9.29,"The receipt matches the details provided: Amount is $9.29, Merchant is PMC - PAID PARKING, and Date "
180,2024-09-07,$10.96,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-09-07_10_96_3.jpg,MISMATCH,10.96,The image provided does not contain the necessary information to verify the receipt. It is a screens
190,2024-09-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-09-08_13_13_3.jpg,MISMATCH,$13.13,"The amount on the receipt is $13.13, which does not match the total shown in the image ($16.50)."
210,2024-09-12,$55.53,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-09-12_55_53_3.jpg,VERIFIED,55.53,"The receipt matches the details provided: Amount: $55.53, Merchant: UBER *TRIP, Date: 2024-09-12."
212,2024-09-13,$313.01,GOLDEN NUGGET HOTEL LV,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-09-13_313_01.png,MISMATCH,$313.01,The image provided does not contain a receipt with the specified details. It appears to be an image 
224,2024-09-16,$144.06,TST*MARTINS BAR-B-QUE JO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstmartins_bar_b_que_jo_2024-09-16_144_06.jpg,VERIFIED,144.06,The receipt matches the provided details.
226,2024-09-17,$38.79,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-09-17_38_79.jpg,VERIFIED,$38.79,"The image shows a receipt from Uber with the total amount of $38.79, which matches the provided deta"
249,2024-09-28,$40.33,APPLE.COM/BILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-09-28_40_33.jpg,VERIFIED,40.33,"The receipt matches the details provided: Amount of $40.33, Merchant as APPLE.COM/BILL, and Date of "
252,2024-10-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-10-01_19_76_3.jpg,VERIFIED,$19.76,"The receipt matches the details provided: Amount is $19.76, Merchant is EXPENSIFY INC., and Date is "
253,2024-10-01,$61.00,TST* THE GREENHOUSE BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_the_greenhouse_bar_2024-10-01_61_0.jpg,MISMATCH,61.0,The total amount on the receipt does not match the expected amount of $61.00.
272,2024-10-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-10-08_13_13_3.jpg,MISMATCH,13.13,"The amount on the receipt is $13.13, which does not match the expected total of $10.67."
283,2024-10-15,$422.72,CHAR GREEN HILLS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-10-15_422_72_3.jpg,MISMATCH,$422.72,"The amount on the receipt is $39.60, which does not match the expected total of $422.72."
286,2024-10-16,$133.44,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-16_133_44.jpg,MISMATCH,133.44,The amount on the receipt does not match the expected total of $133.44.
287,2024-10-16,$19.94,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-16_19_94.png,MISMATCH,$19.94,"The amount on the receipt is $19.94, which does not match the total shown in the image."
290,2024-10-16,$29.73,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-16_29_73.jpg,VERIFIED,29.73,"The receipt matches the details provided: Amount is $29.73, Merchant is SH NASHVILLE - OTHER, and Da"
291,2024-10-16,$84.35,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2024-10-16_84_35.jpg,VERIFIED,$84.35,The receipt matches the provided details.
292,2024-10-18,$160.00,CHARTMETRIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chartmetric_2024-10-18_160_0.jpg,VERIFIED,160.0,"The image shows a receipt with the following details: Amount: $160.0, Merchant: CHARTMETRIC, Date: 2"
300,2024-10-25,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-25_50_0.jpg,MISMATCH,$50.00,The amount on the receipt does not match the expected amount of $50.00.
301,2024-10-26,$19.99,IMDBPRO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/imdbpro_2024-10-26_19_99.jpg,VERIFIED,$19.99,"The receipt matches the details provided: Amount: $19.99, Merchant: IMDBPRO, Date: 2024-10-26."
302,2024-10-26,$427.56,LE MERIDIEN ST. LOUIS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/le_meridien_st_louis_2024-10-26_427_56_3.jpg,VERIFIED,$427.56,The receipt matches the details provided.
303,2024-10-26,$49.71,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-10-26_49_71_3.jpg,VERIFIED,49.71,"The image shows a receipt with the following details: Amount: $49.71, Merchant: UBER *TRIP, Date: 20"
306,2024-10-30,$159.74,12 SOUTH TAPROOM &AMP; GRILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-10-30_159_74_3.jpg,MISMATCH,159.74,"The receipt shows a total of $159.74, which does not match the amount provided in the question."
307,2024-10-30,$49.24,DD *DOORDASH TACOBAMBA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_tacobamba_2024-10-30_49_24_3.jpg,VERIFIED,$49.24,"The image shows a receipt with the following details: Amount: $49.24, Merchant: DD *DOORDASH TACOBAM"
308,2024-10-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-10-30_32_93.jpg,MISMATCH,32.93,"The amount on the receipt is $32.93, which does not match the expected total of $32.93."
309,2024-10-31,$67.97,DD *DOORDASH KALAMATAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_kalamatas_2024-10-31_67_97.jpg,VERIFIED,$67.97,"The image shows a receipt with the following details: Amount: $67.97, Merchant: DD *DOORDASH KALAMAT"
310,2024-11-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-11-01_19_76_3.jpg,VERIFIED,19.76,The image shows a receipt with the following details: Amount: $19.76; Merchant: EXPENSIFY INC.; Date
311,2024-11-01,$25.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-01_25_0.jpg,VERIFIED,25.0,The receipt matches the provided details.
312,2024-11-01,$21.00,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-01_21_0.jpg,VERIFIED,21.0,"The receipt matches the details provided: Amount is $21.0, Merchant is METROPOLIS PARKING, and Date "
313,2024-11-01,$52.68,NOTION LABS INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2024-11-01_52_68.jpg,VERIFIED,52.68,The receipt matches the provided details.
314,2024-11-01,$23.27,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-01_23_27.jpg,VERIFIED,23.27,"The receipt matches the details provided: Amount: $23.27, Merchant: SH NASHVILLE - OTHER, Date: 2024"
315,2024-11-03,$25.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-03_25_0.jpg,VERIFIED,$25.00,"The receipt matches the details provided: Amount: $25.00, Merchant: IM-ADA.AI, Date: 2024-11-03"
316,2024-11-04,$39.87,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-11-04_39_87.jpg,VERIFIED,39.87,The receipt matches the provided details.
318,2024-11-06,$23.21,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-11-06_23_21_3.jpg,VERIFIED,23.21,The receipt matches the details provided.
319,2024-11-06,$102.26,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fb_2024-11-06_102_26.jpg,MISMATCH,102.26,"The receipt shows a total of $102.26, which does not match the expected amount of $102.26."
320,2024-11-07,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/imadaai_2024-11-07_50_00.jpg,MISMATCH,50.0,The amount on the receipt does not match the expected total of $50.00.
321,2024-11-07,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-07_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount is $26.25, Merchant is METROPOLIS PARKING, and Date"
