index,date,amount,merchant,receipt_url,verdict,confidence,receipt_total,receipt_merchant,reasoning
824,2025-11-21,32.93,midjourney,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_198ec087021a_att1.jpg,MISMATCH,100,32.93,Midjourney Inc,"The amount matches ($32.93), and the merchant name matches (Midjourney). However, the date on the receipt (2025-08-27) is not within 7 days of the bank transaction date (2025-11-21)."
775,2025-08-14,10.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,MISMATCH,100,5.00,CLOUDFLARE,"The receipt is from CLOUDFLARE and the merchant name matches. However, the amount is $5.00, while the bank transaction is $10.00. The date on the receipt is January 14, 2025, while the bank transaction date is August 14, 2025. The amount and date do not match."
773,2025-08-09,40.39,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-08-09_40_39_3.jpg,MISMATCH,100,,,"The image shows a 403 error page, not a receipt. Therefore, no information can be extracted to match the bank transaction."
625,2025-04-10,217.4,TST*GREEN HILLS GRILLE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg,MISMATCH,100,207.40,Green Hills Grille,"The merchant name matches (TST*GREEN HILLS GRILLE vs Green Hills Grille) and the date matches (2025-04-10). However, the receipt total is $207.40, while the bank transaction is $217.40. The difference is $10.00, which is more than $1.00 and more than 20% of the receipt total."
613,2025-04-04,11.68,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_11_68.jpg,MISMATCH,100,11.63,Soho House Nashville,"The amount is within the acceptable range ($11.63 vs $11.68), and the merchant name matches (SH NASHVILLE - OTHER vs Soho House Nashville). However, the dates do not match (2019-09-19 vs 2025-04-04) and are not within the 7-day window."
610,2025-04-04,26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_26_25_3.jpg,MISMATCH,100,26.25,metropolis,"The amount matches ($26.25), and the merchant name reasonably matches (Metropolis Parking vs metropolis). However, the date on the receipt (February 20, 2025) is not within 7 days of the bank transaction date (April 4, 2025)."
609,2025-04-04,15.15,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg,MISMATCH,100,15.99,metropolis,"The receipt total is $15.99, which is not within $1.00 or 20% of the bank transaction amount of $15.15. The merchant name matches. The receipt date is November 12, 2024, which is not within 7 days of the bank transaction date of April 4, 2025."
614,2025-04-04,37.63,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_37_63.jpg,MISMATCH,100,,W Nashville,"The receipt is from W Nashville on 2023-11-22, but the total is missing. The bank transaction is for $37.63 on 2025-04-04 from SH NASHVILLE - OTHER. The dates do not match, the amounts do not match, and the merchant names are different."
595,2025-03-28,299.88,ELEMENTOR.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-03-28_299_88.jpg,MISMATCH,100,47.88,Elementor Ltd.,"The receipt total ($47.88) does not match the bank transaction amount ($299.88). The merchant name 'Elementor Ltd.' reasonably matches 'ELEMENTOR.COM', and the invoice date (03/29/2025) is within 7 days of the bank transaction date (2025-03-28), but the amount is too far off."
581,2025-03-21,15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-21_15_99_3.jpg,MISMATCH,100,15.99,metropolis,"The receipt total and merchant name match the bank transaction. However, the receipt date (2024-08-01) is not within 7 days of the bank transaction date (2025-03-21)."
575,2025-03-14,10.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-03-14_10_0.jpg,MISMATCH,100,10.00,CLOUDFLARE,"The amount and merchant match, but the receipt date (2025-02-14) is not within 7 days of the bank transaction date (2025-03-14)."
573,2025-03-13,9.0,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-03-13_9_0.jpg,MISMATCH,100,9.00,"Sourcegraph, Inc.","The amount matches ($9.00), and the merchant name is a reasonable match (SOURCEGRAPH INC vs Sourcegraph, Inc.). However, the dates do not match and are not within the 7-day window (2025-03-13 vs 2024-11-13)."
569,2025-03-09,112.84,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-03-09_112_84.jpg,MISMATCH,100,100.82,Soho House Nashville,The amount ($100.82) does not match the bank transaction amount ($112.84). The date (2024-09-05) is not within 7 days of the bank transaction date (2025-03-09). The merchant name 'Soho House Nashville' reasonably matches 'SH NASHVILLE - OTHER'.
458,2025-01-08,10.0,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-01-08_10_0.jpg,MISMATCH,100,10.00,CalendarBridge,"The amount and merchant match, but the receipt date (2024-08-08) is not within 7 days of the bank transaction date (2025-01-08)."
456,2025-01-07,100.0,CURSOR AI POWERED IDE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2025-01-07_100_0.png,MISMATCH,95,,LSE LACROIX SPORTS & ENTERTAINMENT,"The receipt shows the logo for LSE LACROIX SPORTS & ENTERTAINMENT. The bank transaction is for CURSOR AI POWERED IDE. The merchant names do not match, and there is no amount or date on the receipt."
454,2025-01-06,13.5,THE DONELSON PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_donelson_pub_2025-01-06_13_5.jpg,MISMATCH,95,13.50,"NASHVILLE, TN","The receipt total is $13.50, matching the bank transaction amount. The receipt date is 2025-01-05, which is within the 7-day window of the bank transaction date (2025-01-06). However, the merchant name on the receipt is ""NASHVILLE, TN"" which does not match ""THE DONELSON PUB"". Therefore, the transaction is a MISMATCH."
453,2025-01-06,72.38,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-06_72_38.jpg,MISMATCH,95,72.26,Soho House Nashville,"The receipt total ($72.26) is within $1.00 of the bank transaction amount ($72.38). The merchant name 'Soho House Nashville' reasonably matches 'SH NASHVILLE - OTHER'. However, the receipt date (2023-08-10) is not within 7 days of the bank transaction date (2025-01-06)."
439,2024-12-21,24.43,CURSOR AI POWERED IDE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2024-12-21_24_43.jpg,MISMATCH,100,109.84,Cursor,The amount and merchant name do not match. The date is also incorrect.
433,2024-12-19,130.12,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-12-19_130_12_3.jpg,MISMATCH,100,130.01,Corner Pub Green Hills,"The receipt total of $130.01 matches the bank transaction amount of $130.12. The merchant name 'Corner Pub Green Hills' reasonably matches 'CORNER PUB'. However, the receipt date of 2023-04-18 does not fall within the acceptable 7-day window of the bank transaction date of 2024-12-19."
426,2024-12-16,45.24,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-12-16_45_24.jpg,MISMATCH,100,45.24,Soho House Nashville,"The amount matches ($45.24), and the merchant name is similar (SH NASHVILLE vs Soho House Nashville). However, the date on the receipt (2024-11-08) is not within 7 days of the bank transaction date (2024-12-16)."
422,2024-12-14,5.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-12-14_5_0.jpg,MISMATCH,95,5.00,CLOUDFLARE,"The amount matches ($5.00). The merchant name matches (CLOUDFLARE). However, the receipt date is January 14, 2025, while the bank transaction date is December 14, 2024. The dates are not within 7 days of each other."
