index,date,amount,merchant,receipt_url,verdict,receipt_total,receipt_merchant,reason
26,2024-07-08,13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-07-08_13_13_3.jpg,VERIFIED,13.13,Spotify,All information matches.
27,2024-07-10,10.98,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-07-10_10_98_3.jpg,VERIFIED,10.98,Midjourney Inc.,The receipt total matches the bank transaction amount.
29,2024-07-14,5.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-07-14_5_0.jpg,MISMATCH,5.0,,Insufficient information
31,2024-07-14,168.87,TST* IL FORNO PIZZERIA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_il_forno_pizzeria_2024-07-14_168_87_3.jpg,MISMATCH,140.87,il forno pizzeria,"The receipt total is $140.87, which is $28.00 less than the bank transaction amount of $168.87."
32,2024-07-15,12.62,CLEAR *CLEARME.COM,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2024-07-15_12_62.png,MISMATCH,12.62,CLEAR,Date not visible
37,2024-07-17,94.22,DD *DOORDASH KALAMATAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_kalamatas_2024-07-17_94_22.jpg,MISMATCH,94.22,Kalamata's,"The receipt total does not match $94.22. The total on the receipt is $94.22, but the bank transaction is $94.22. The merchant name on the receipt is Kalamata's, but the bank transaction is KALAMATAS."
38,2024-07-17,5.0,LAZ PARKING M32810,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,ERROR,,,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)"
39,2024-07-17,11.32,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-07-17_11_32_3.jpg,VERIFIED,11.32,Metropolis,The receipt total matches the bank transaction amount.
40,2024-07-17,4.49,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-07-17_4_49_3.jpg,VERIFIED,4.49,Metropolis,The receipt total matches the bank transaction amount.
41,2024-07-17,7.55,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-07-17_7_55.jpg,VERIFIED,7.55,Metropolis,The receipt total matches the bank transaction amount.
