Date,Description,Amount,Category,Receipt URL,Validation Status,Notes
2025-12-10,uber,$36.95,DH: Travel Costs - Cab/Uber/Bus Fare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4304_uber_2025-12-10_36_95.jpg,verified_visual,Uber from Nashville Airport to Mt. Juliet home office - returning from business trip
2025-12-10,uber,$29.95,DH: Travel Costs - Cab/Uber/Bus Fare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4315_uber_2025-12-10_29_95.jpg,verified_visual,Uber to Nashville Airport - departing Nashville
2025-12-07,venmo,$50.00,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/venmo_2025-12-07_50_00_19af8410b0ac.jpg,verified_visual,Venmo - Brandon Schaffner taxi Vegas
2025-12-06,uber,$18.99,DH: Travel Costs - Cab/Uber/Bus Fare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4316_uber_2025-12-06_18_99.jpg,verified_visual,Uber around Las Vegas - NFR Finals networking
2025-12-06,uber,$32.98,DH: Travel Costs - Cab/Uber/Bus Fare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4317_uber_2025-12-06_32_98.jpg,verified_visual,Uber around Las Vegas - NFR Finals events
2025-12-06,UBER *TRIP,$37.98,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4321_uber_trip_2025-12-06_37_98.jpg,verified,Uber from Downtown Vegas to Las Vegas Strip - NFR Finals week
2025-12-05,APPLE,$53.10,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4306_apple_2025-12-05_53_10.jpg,verified,Apple - App Subscriptions (Monthly)
2025-12-04,uber,$40.76,DH: Travel Costs - Cab/Uber/Bus Fare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4318_uber_2025-12-04_40_76.jpg,verified_visual,Uber from Mt. Juliet home office to Nashville Airport - departing for business trip
2025-12-02,Soho House,$3120.00,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4287_soho_house_2025-12-02_3120_00.png,verified,Soho House Nashville - Annual membership dues
2025-12-01,claude,$109.75,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/835_anthropic_pbc_2025-12-01_109_75.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-12-01,ideogram,$20.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4272_ideogram_2025-12-01_20_00.jpg,verified,Ideogram AI - AI logo and graphic design tool (Monthly)
2025-12-01,midjourney,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4273_midjourney_2025-12-01_21_95.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-11-28,Apple,$37.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4307_apple_2025-11-28_37_95.jpg,verified,Apple - Apple One Monthly
2025-11-27,midjourney,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4311_midjourney_2025-11-27_32_93.jpg,verified_visual,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-11-27,APPLE.COM/BILL,$37.95,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4340_apple_icloud____apple_one_bundle_2025-11-27_37_95.png,verified,Apple - Apple One Monthly
2025-11-24,SH NASHVILLE,$37.63,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/2025-04-04_SH_NASHVILLE___OTHER_$37_63.jpg,verified,Soho House Nashville - Lunch with Mark Wallace (Music Supervisor)
2025-11-21,midjourney,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/825_midjourney_2025-11-21_32_92.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-11-19,metropolis,$8.00,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/832_18th_and_chet_2025-11-19_8_00.jpg,verified,Parking - Downtown meeting
2025-11-18,PARKING - 818 18TH AVE S,$8.99,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4293_parking_818_18th_ave_s_2025-11-18_8_99.png,verified,Parking - Downtown meeting
2025-11-01,NOTION LABS INC.,$52.68,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1619_notion_labs_inc_2025-11-01_52_68.jpg,verified,Notion - Wiki and documentation platform (Monthly)
2025-11-01,MEETING REMINDER IN YOUR FACE,$24.99,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/inbox/09a589dc6427.jpg,verified,Meeting Reminder app (Annual)
2025-10-30,claude,$109.75,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4312_claude_2025-10-30_109_75.jpg,verified_visual,Claude AI - AI assistant for content creation and coding (Monthly)
2025-10-28,railway corporation,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/831_railway_corporation_2025-10-28_5_00.png,verified,Railway - Cloud hosting for Down Home web apps (Monthly)
2025-10-27,midjourney,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4313_midjourney_2025-10-27_32_93.jpg,verified_visual,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-10-27,APPLE.COM/BILL,$37.95,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4341_apple_icloud____apple_one_bundle_2025-10-27_37_95.png,verified,Apple - Apple One Monthly
2025-10-26,claude,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/850_anthropic_pbc_2025-10-26_21_95.png,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-10-23,CORNER PUB GREEN HILLS,$50.00,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/861_the_donelson_pub_2025-10-23_50_00.jpeg,verified,Coffee with Rachel Reynolds (WXNA)
2025-10-23,CORNER PUB GREEN HILLS,$44.17,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4299_corner_pub_green_hills_2025-10-23_44_17.png,verified,Corner Pub - Meeting with Colleen Taylor (Mighty Loud)
2025-10-22,runway,$158.04,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/829_runway_2025-10-22_158_03.jpg,verified,Runway AI - Video editing and AI effects (Monthly)
2025-10-21,CLEAR *CLEARME.COM,$334.00,DH: Travel Costs - Airfare,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1613_clear_clearmecom_2025-10-21_334_00.jpg,verified,TSA CLEAR - Expedited airport security
2025-10-21,THE TWELVE THIRTY CLUB,$64.67,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4297_the_twelve_thirty_club_2025-10-21_64_67.png,verified,Twelve Thirty Club - Dinner with Cindy Mabe (UMG SVP)
2025-10-16,SH NASHVILLE,$13.17,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4295_sh_nashville_2025-10-16_13_17.png,verified,Soho House Nashville - Meeting with Devin Ford (CMA)
2025-10-15,PARKING - 600 12TH AVE S,$16.29,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/854_icon_garage_2025-10-15_16_29.jpg,verified,Parking - Downtown meeting
2025-10-13,beautiful slides,$158.04,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/843_beautiful_slides_inc_2025-10-13_158_04.png,verified,Beautiful.ai - Presentation software for pitches (Monthly)
2025-10-09,SH NASHVILLE,$15.80,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/865_soho_house_nashville_2025-10-09_15_80.jpg,verified,Soho House Nashville - Meeting with Jay Orr (CMHOF)
2025-10-07,PARKING - 206 2ND AVE S,$9.82,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/853_gulch_crossing_garage_2025-10-07_9_82.jpg,verified,Parking - Downtown meeting
2025-10-06,Ideogram AI,$20.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/845_ideogram_ai_2025-10-06_20_00.png,verified,Ideogram AI - AI logo and graphic design tool (Monthly)
2025-10-04,ANTHROPIC,$5.68,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1605_anthropic_2025-10-04_5_68.png,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-10-03,IDEOGRAM AI,$20.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1603_ideogram_ai_2025-10-03_20_00.jpg,verified,Ideogram AI - AI logo and graphic design tool (Monthly)
2025-10-01,SH NASHVILLE,$15.57,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/859_soho_house_nashville_2025-10-01_15_57.jpg,verified,Soho House Nashville - Coffee with Mandy Goenner (Taillight)
2025-09-29,claude,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/844_anthropic_pbc_2025-09-29_21_95.png,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-09-27,midjourney,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/847_midjourney_inc_2025-09-27_32_93.png,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-09-27,APPLE.COM/BILL,$37.95,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4342_apple_icloud____apple_one_bundle_2025-09-27_37_95.png,verified,Apple - Apple One Monthly
2025-09-23,PARKING - 501 COMMERCE ST,$44.10,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4292_parking_501_commerce_st_2025-09-23_44_10.png,verified,Parking - Music Row meetings
2025-09-10,taskade,$120.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4265_taskade_2025-09-10_120_00.jpg,verified,Taskade - shared with Celeste (Monthly)
2025-09-01,EXPENSIFY INC.,$19.76,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1593_expensify_inc_2025-09-01_19_76.jpg,verified,Expensify - Expense tracking and reporting (Monthly)
2025-08-30,EVERY STUDIO,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1591_every_studio_2025-08-30_5_00.jpg,verified,Every Studio - Promo artwork
2025-08-28,IDEOGRAM AI,$20.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1589_ideogram_ai_2025-08-28_20_00.jpg,verified,Ideogram AI - AI logo and graphic design tool (Monthly)
