id,_index,merchant,date,amount,mismatch_reason
4273,837,midjourney,2025-12-01,21.95,Mismatch: Merchant does not match. Date is off by more than 3 days (October 26 vs December 1).
4272,836,ideogram,2025-12-01,20.00,"Mismatch: Merchant matches. Amount matches. Date is October 28, 2025, which is not within 3 days of December 1, 2025."
4271,835,claude,2025-12-01,109.75,"Mismatch: Merchant name does not match (claude vs Anthropic, PBC) and date is off by more than 3 days (2025-10-29 vs 2025-12-01)."
1571,775,CLOUDFLARE,2025-08-14,10.00,"Mismatch: Merchant matches, but the date is January 14, 2025, and the amount is $5.00, which does not match the expected date of August 14, 2025, and amount of $10.00."
1567,773,PMC - PAID PARKING,2025-08-09,40.39,Mismatch: Not a valid receipt / unreadable
1553,766,MONGODBCLOUD BRIANS...,2025-08-02,30.16,"Mismatch: Merchant name matches, amount matches, but the date does not match (2025-03-28 vs 2025-08-02)."
1517,748,MONGODBCLOUD BRIANS...,2025-07-08,37.67,"Mismatch: Merchant matches, amount matches, but date (2025-03-28) is not within 3 days of the expected date (2025-07-08)."
1429,694,AI.FYXER.COM,2025-05-15,60.00,Mismatch detected via LLM vision (Dec 1 verification)
1363,625,TST*GREEN HILLS GRILLE,2025-04-10,217.40,"Mismatch: Merchant name matches, date matches, but the amount ($207.40) does not match the expected amount ($217.40) within $1.00."
1349,609,METROPOLIS PARKING,2025-04-04,15.15,"Mismatch: Merchant name matches, but the date and amount do not fall within the acceptable ranges. Date is November 12, 2024, not April 4, 2025. Amount is $15.99, which is within $1.00 of the expected $15.15."
1321,581,METROPOLIS PARKING,2025-03-21,15.99,"Mismatch: Merchant matches, amount matches, but date does not match. The receipt date is 2024-08-01, while the expected date is 2025-03-21."
1315,575,CLOUDFLARE,2025-03-14,10.00,"Mismatch: Merchant and amount match, but the date is February 14, 2025, not March 14, 2025."
1231,489,SHOEBOXED.COM,2025-01-25,44.25,"Mismatch: The receipt is an email about a subscription expiring, not a transaction receipt. There is no date or total amount on the receipt."
1208,466,SOURCEGRAPH INC,2025-01-13,9.00,"Mismatch: Merchant matches, amount matches, but date is November 13, 2024, not January 13, 2025."
1200,458,CALENDARBRIDGE,2025-01-08,10.00,"Mismatch: Merchant matches, amount matches, but the date is August 8, 2024, not January 8, 2025."
1138,395,CURB LV TAXI YCS,2024-12-06,29.87,Mismatch detected via LLM vision (Dec 1 verification)
1133,390,DESERT CAB,2024-12-05,34.44,Mismatch detected via LLM vision (Dec 1 verification)
1111,368,GOLDEN NUGGET HOTEL LV,2024-11-29,123.17,"Mismatch: Merchant matches, but the date on the email is 2024-11-26, which is within 3 days of the expected date of 2024-11-29. However, the receipt does not have a single total amount. The stay total due is 0.0, but the individual charges add up to a different amount. Therefore, the amount cannot be matched."
1110,367,SOUTHWES 5262584463367,2024-11-27,884.98,Mismatch: Merchant name matches (Southwest vs SOUTHWES). The date is off by more than 3 days (2024-12-02 vs 2024-11-27). The amount matches ($884.98 vs $884.98).
1094,351,METROPOLIS PARKING,2024-11-20,20.66,"Mismatch: Merchant name does not match, date is missing, and amount is significantly different."
1657,818,PMC - PAID PARKING,2024-10-16,26.22,"Mismatch: Merchant matches, amount matches, but the date is missing from the receipt."
1030,287,PMC - PAID PARKING,2024-10-16,19.94,"Mismatch: Merchant and amount match, but the receipt does not contain a date."
1629,804,PMC - PAID PARKING,2024-10-16,26.22,"Mismatch: Merchant matches, amount matches, but the receipt does not contain a date."
1026,283,CHAR GREEN HILLS,2024-10-15,422.72,"Mismatch: Merchant name is similar, date matches, but the amount ($352.72) does not match the expected amount ($422.72) within $1.00."
1025,282,CLOUDFLARE,2024-10-14,5.00,"Mismatch: Merchant and amount match, but the date on the receipt (2025-01-14) does not match the expected date (2024-10-14) within the allowed 3-day window."
1022,279,SH NASHVILLE - OTHER,2024-10-11,62.04,"Mismatch: Merchant name matches (SH NASHVILLE - OTHER vs Soho House Nashville), but the date (2023-09-22 vs 2024-10-11) and amount ($62.93 vs $62.04) do not fall within the allowed tolerances."
1021,278,SH NASHVILLE - OTHER,2024-10-11,27.14,Mismatch detected via LLM vision (Dec 1 verification)
1016,273,PMC - PAID PARKING,2024-10-09,30.05,"Mismatch: Merchant matches, amount matches, but the date is missing from the receipt."
1015,272,SPOTIFY USA,2024-10-08,13.13,"Mismatch: Merchant matches, amount matches, but the date is off by more than 3 days. Expected date is 2024-10-08, receipt date is 2024-11-08."
1013,270,IM-ADA.AI,2024-10-08,50.00,"Mismatch: Merchant name matches (Ada Al is close to IM-ADA.AI), amount matches, but date (2024-10-25) is not within 3 days of the expected date (2024-10-08)."
741,266,SH NASHVILLE - OTHER,2024-10-07,52.99,"Mismatch: Merchant name is similar, amount matches, but the date is November 24, 2024, which is not within 3 days of October 7, 2024."
739,264,SH NASHVILLE - OTHER,2024-10-04,23.27,"Mismatch: Merchant name is similar, amount matches, but the date is November 1, 2024, which is not within 3 days of October 4, 2024."
737,262,IM-ADA.AI,2024-10-04,25.00,"Mismatch: Merchant name matches (Ada Al vs IM-ADA.AI), amount matches, but the date (2024-11-03) is not within 3 days of the expected date (2024-10-04)."
999,256,PMC - PAID PARKING,2024-10-03,20.76,Mismatch: Merchant and amount match. Date is missing from the receipt.
731,255,IM-ADA.AI,2024-10-02,10.00,"Mismatch: Merchant name is similar (Ada Al vs IM-ADA.AI), but the date (2024-11-07 vs 2024-10-02) and amount ($50.00 vs $10.00) do not match."
726,250,IM-ADA.AI,2024-09-30,50.00,"Mismatch: Merchant name matches (Ada AI vs IM-ADA.AI), amount matches, but date (2024-10-25) is not within 3 days of the expected date (2024-09-30)."
725,249,APPLE.COM/BILL,2024-09-28,40.33,"Mismatch: Merchant matches, amount matches, but the date is off by more than 3 days. Expected date: 2024-09-28, Receipt date: 2024-07-27"
1645,812,IM-ADA.AI,2024-09-28,25.00,"Mismatch: Merchant name matches (Ada Al vs IM-ADA.AI), amount matches, but the date (2024-11-03) is outside the allowed 3-day window from the expected date (2024-09-28)."
1627,803,IM-ADA.AI,2024-09-28,25.00,"Mismatch: Merchant name matches (Ada Al vs IM-ADA.AI), amount matches ($25.00), but the date (2024-11-03) does not fall within the acceptable range of 2024-09-28 +/- 3 days."
1643,811,IM-ADA.AI,2024-09-28,25.00,"Mismatch: Merchant name is similar (Ada Al vs IM-ADA.AI), amount matches, but the date (2024-11-03) is outside the 3-day window of the expected date (2024-09-28)."
141,243,PMC - PAID PARKING,2024-09-25,26.22,Mismatch: Merchant and amount match. Date is missing from the receipt.
721,245,THE GATEWAY TO NASHVILLE,2024-09-25,20.00,Mismatch detected via LLM vision (Dec 1 verification)
711,235,201 BELCOURT LOT,2024-09-21,5.60,Mismatch detected via LLM vision (Dec 1 verification)
706,230,AMERICANO LOUNGE,2024-09-19,14.09,"Mismatch: Merchant and amount match, but the receipt does not contain a date."
971,228,PMC - PAID PARKING,2024-09-18,29.22,"Mismatch: Merchant and amount match, but the receipt does not contain a date."
140,221,PMC - PAID PARKING,2024-09-16,26.22,"Mismatch: Merchant matches, amount matches, but the receipt date is missing."
692,215,APPLE.COM/BILL,2024-09-15,76.81,"Mismatch: Merchant matches, amount matches, but the date is off by more than 3 days."
691,214,CLOUDFLARE,2024-09-14,5.00,Mismatch detected via LLM vision (Dec 1 verification)
689,212,GOLDEN NUGGET HOTEL LV,2024-09-13,313.01,Mismatch detected via LLM vision (Dec 1 verification)
688,211,UBER *TRIP,2024-09-12,41.98,Mismatch detected via LLM vision (Dec 1 verification)
685,208,GNLV THE GRILLE,2024-09-12,27.22,Mismatch detected via LLM vision (Dec 1 verification)
678,198,BINION'S BARS,2024-09-10,43.50,Mismatch detected via LLM vision (Dec 1 verification)
139,187,CLEAR *CLEARME.COM,2024-09-08,318.00,Mismatch detected via LLM vision (Dec 1 verification)
662,182,METROPOLIS PARKING,2024-09-07,26.25,Mismatch detected via LLM vision (Dec 1 verification)
660,180,APPLE.COM/BILL,2024-09-07,10.96,Mismatch detected via LLM vision (Dec 1 verification)
911,168,PMC - PAID PARKING,2024-09-04,24.59,Mismatch detected via LLM vision (Dec 1 verification)
134,165,12 SOUTH TAPROOM &AMP; GRILL,2024-09-04,59.16,Mismatch detected via LLM vision (Dec 1 verification)
135,166,CORNER PUB,2024-09-04,39.78,Mismatch detected via LLM vision (Dec 1 verification)
136,167,CORNER PUB,2024-09-04,45.15,Mismatch detected via LLM vision (Dec 1 verification)
129,159,APPLE.COM/BILL,2024-08-31,23.14,Mismatch detected via LLM vision (Dec 1 verification)
