index,amount,merchant,date,receipt_url,llama32_verdict,llama32_reason,llama32_total,original_llava,was_verified
15,20.66,TST* PYRAMIDS CAFE - AIRP,2024-07-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_pyramids_cafe_airp_2024-07-01_20_66_3.jpg,VERIFIED,"**TOTAL:** $20.66
**VERDICT:** MATCH

This receipt shows a total amount of $20.66, which matches the expected amount. The merchant name is also correctly listed as TST* PYRAMIDS CAFE - AIRP.",** $20.66,MISMATCH,VERIFIED
18,24.56,SLIM &AMP; HUSKIES,2024-07-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/slim_amp_huskies_2024-07-02_24_56.jpg,VERIFIED,"**Receipt Analysis**

* **Total Amount:** $24.56
* **Merchant:** SLIM &AMP; HUSKIES

**Verdict:** MATCH

The total amount on the receipt matches the expected amount of $24.56, confirming the accuracy ",,MISMATCH,VERIFIED
38,5.00,LAZ PARKING M32810,2024-07-17,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32810_2024-07-17_5_0.jpg,MISMATCH,"The receipt shows a total amount of $10.99. This is not the expected amount of $5.00 for LAZ PARKING M32810.

**TOTAL:** $10.99
**VERDICT:** MISMATCH",** $10.99,MISMATCH,VERIFIED
44,54.86,APPLE.COM/BILL,2024-07-22,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-07-22_54_86.jpg,VERIFIED,"**Receipt Analysis**

**Total Amount:** $54.86
**Merchant:** APPLE.COM/BILL

**Verdict:** MATCH

**Reasoning:**

* The total amount on the receipt matches the expected amount.
* The merchant on the re",,MISMATCH,VERIFIED
49,43.60,CHAR GREEN HILLS,2024-07-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-07-25_43_6.jpg,VERIFIED,"**Receipt Analysis**

**Total Amount:** The total amount shown on this receipt is $36.60.

**Merchant Verification:** The merchant listed on the receipt is Char-Nashville, which matches the expected m",MATCH,MISMATCH,VERIFIED
190,13.13,SPOTIFY USA,2024-09-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-09-08_13_13_3.jpg,VERIFIED,"**TOTAL:** $13.13
**VERDICT:** MATCH",** $13.13,MISMATCH,VERIFIED
253,61.00,TST* THE GREENHOUSE BAR,2024-10-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_the_greenhouse_bar_2024-10-01_61_0.jpg,VERIFIED,"**Receipt Analysis**

* **Total Amount:** $61.00
* **Merchant:** TST* THE GREENHOUSE BAR

**Verdict:** MATCH

The total amount on this receipt matches the expected amount.",,MISMATCH,VERIFIED
272,13.13,SPOTIFY USA,2024-10-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-10-08_13_13_3.jpg,VERIFIED,"TOTAL: $13.13
VERDICT: MATCH

The receipt shows a total amount of $13.13, which matches the expected amount.",$13.13,MISMATCH,VERIFIED
286,133.44,CORNER PUB,2024-10-16,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-16_133_44.jpg,VERIFIED,"The total amount shown on this receipt is $133.44. The receipt is from Corner Pub.

TOTAL: $133.44
VERDICT: MATCH",$133.44,MISMATCH,VERIFIED
287,19.94,PMC - PAID PARKING,2024-10-16,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-16_19_94.png,VERIFIED,"**Receipt Analysis**

The receipt shows a total amount of $19.94, which matches the expected amount. The merchant is indeed PMC - PAID PARKING.

**Answer:** TOTAL: $19.94 VERDICT: MATCH",MATCH,MISMATCH,VERIFIED
300,50.00,IM-ADA.AI,2024-10-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-25_50_0.jpg,VERIFIED,"**Receipt Analysis**

**Total Amount:** $50.00
**Merchant:** IM-ADA.AI

**Verdict:** MATCH

The total amount shown on this receipt is $50.00, which matches the expected amount.",,MISMATCH,VERIFIED
306,159.74,12 SOUTH TAPROOM &AMP; GRILL,2024-10-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-10-30_159_74_3.jpg,VERIFIED,"TOTAL: $159.74
VERDICT: MATCH

The total amount on the receipt is indeed $159.74, which matches the expected amount.",$159.74,MISMATCH,VERIFIED
308,32.93,MIDJOURNEY INC.,2024-10-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-10-30_32_93.jpg,VERIFIED,"**TOTAL: $32.93**
**VERDICT: MATCH**",$32.93**,MISMATCH,VERIFIED
319,102.26,SH NASHVILLE F&AMP;B,2024-11-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fb_2024-11-06_102_26.jpg,VERIFIED,"The total amount shown on this receipt is $102.26. The merchant listed on the receipt is SH NASHVILLE F&AMP;B.

**Answer:** TOTAL: $102.26
VERDICT: MATCH",$102.26,MISMATCH,VERIFIED
320,50.00,IM-ADA.AI,2024-11-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/imadaai_2024-11-07_50_00.jpg,VERIFIED,"TOTAL: $50.00
VERDICT: MATCH

Explanation:
The total amount shown on the receipt is $50.00, which matches the expected amount.",$50.00,MISMATCH,VERIFIED
324,10.00,CALENDARBRIDGE,2024-11-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2024-11-08_10_0.jpg,VERIFIED,"TOTAL: $10.00
VERDICT: MATCH

This response indicates that the total amount shown on the receipt is $10.00, which matches the expected amount.",$10.00,MISMATCH,VERIFIED
326,10.99,METROPOLIS PARKING,2024-11-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-08_10_99_3.jpg,VERIFIED,"**Step 1: Identify the relevant information on the receipt.**

The receipt shows a parking charge of $10.00 and a service fee of $0.99.

**Step 2: Calculate the total amount.**

Total amount = parking",$10.99,MISMATCH,VERIFIED
329,50.00,IM-ADA.AI,2024-11-09,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-09_50_0.jpg,VERIFIED,"TOTAL: $50.00
VERDICT: MATCH

This answer is based on the information provided in the receipt. The total amount shown on the receipt is $50.00, which matches the expected amount.",$50.00,MISMATCH,VERIFIED
331,361.72,SH NASHVILLE F&AMP;B,2024-11-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2024-11-12_361_72.jpg,VERIFIED,"The total amount shown on this receipt is $361.72. This matches the expected amount of $361.72.

TOTAL: $361.72
VERDICT: MATCH",$361.72,MISMATCH,VERIFIED
336,279.44,12 SOUTH TAPROOM &AMP; GRILL,2024-11-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-11-14_279_44.jpg,MISMATCH,"TOTAL: $233.44
VERDICT: MISMATCH",$233.44,MISMATCH,VERIFIED
347,47.34,BROADWAY BREWHOUSE DOWNTO,2024-11-17,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/broadway_brewhouse_downto_2024-11-17_47_34_3.jpg,VERIFIED,"TOTAL: $47.34
VERDICT: MATCH

The total amount shown on this receipt is indeed $47.34, which matches the expected amount.",$47.34,MISMATCH,VERIFIED
