index,date,amount,merchant,description,receipt_url,mismatch_category,mismatch_reason,gemini_verdict,llama_verdict,llava_verdict
154,2024-08-29,$67.81,CHAR GREEN HILLS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-08-29_67_81_3.jpg,AMOUNT_MISMATCH,The receipt does not match the provided values for amount and merchant.,RATE_LIMITED,,MISMATCH
250,2024-09-30,$50.00,IM-ADA.AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-30_50_0.jpg,AMOUNT_MISMATCH,The receipt provided does not match the details you have specified. The amount on the receipt is $10,RATE_LIMITED,,MISMATCH
283,2024-10-15,$422.72,CHAR GREEN HILLS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-10-15_422_72_3.jpg,AMOUNT_MISMATCH,"The amount on the receipt is $39.60, which does not match the expected total of $422.72.",RATE_LIMITED,,MISMATCH
367,2024-11-27,$884.98,SOUTHWES 5262584463367,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/southwes_5262584463367_2024-11-27_884_98.jpg,AMOUNT_MISMATCH,Amount on receipt does not match the amount provided in the question.,,,MISMATCH
378,2024-12-03,$708.64,COSMOPOL-BLUE RIBBON,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cosmopol_blue_ribbon_2024-12-03_708_64.jpg,AMOUNT_MISMATCH,The total amount on the receipt does not match the expected amount.,,,MISMATCH
398,2024-12-06,$17.55,PORT OF SUBS 0053,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/port_of_subs_0053_2024-12-06_17_55_3.jpg,AMOUNT_MISMATCH,The total amount on the receipt does not match the expected amount.,,,MISMATCH
416,2024-12-09,$34.07,UBER *TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-09_34_07_3.jpg,AMOUNT_MISMATCH,"The total amount on the receipt is $49.07, which does not match the expected amount of $34.07.",RATE_LIMITED,,MISMATCH
458,2025-01-08,$10.00,CALENDARBRIDGE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-01-08_10_0.jpg,AMOUNT_MISMATCH,"The amount and merchant match, but the receipt date (2024-08-08) is not within 7 days of the bank transaction date (2025-01-08).",MISMATCH,,
466,2025-01-13,$9.00,SOURCEGRAPH INC,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-01-13_9_0.jpg,AMOUNT_MISMATCH,Amount does not match the expected $6.95,,,MISMATCH
533,2025-02-18,$57.62,UBER *TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-02-18_57_62.jpg,AMOUNT_MISMATCH,"The total amount on the receipt is $6.79, which does not match the expected amount of $57.62.",,,MISMATCH
575,2025-03-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-03-14_10_0.jpg,AMOUNT_MISMATCH,"The amount and merchant match, but the receipt date (2025-02-14) is not within 7 days of the bank transaction date (2025-03-14).",MISMATCH,,
581,2025-03-21,$15.99,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-21_15_99_3.jpg,AMOUNT_MISMATCH,"The receipt total and merchant name match the bank transaction. However, the receipt date (2024-08-01) is not within 7 days of the bank transaction date (2025-03-21).",MISMATCH,,
609,2025-04-04,$15.15,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg,AMOUNT_MISMATCH,"The receipt total is $15.99, which is not within $1.00 or 20% of the bank transaction amount of $15.15. The merchant name matches. The receipt date is November 12, 2024, which is not within 7 days of the bank transaction date of April 4, 2025.",MISMATCH,,
625,2025-04-10,$217.40,TST*GREEN HILLS GRILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg,AMOUNT_MISMATCH,"The merchant name matches (TST*GREEN HILLS GRILLE vs Green Hills Grille) and the date matches (2025-04-10). However, the receipt total is $207.40, while the bank transaction is $217.40. The difference is $10.00, which is more than $1.00 and more than 20% of the receipt total.",MISMATCH,,
