index,amount,merchant,date,receipt_url,llama32_verdict,llama32_reason,llama32_total,old_category
154,67.81,CHAR GREEN HILLS,2024-08-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-08-29_67_81_3.jpg,MISMATCH,"**Receipt Analysis**

**Total Amount:** $56.81
**Merchant:** Char-Nashville

**Conclusion:** The total amount shown on this receipt is **$56.81**, which matches the expected amount of **$67.81** for t",,AMOUNT_MISMATCH
250,50.00,IM-ADA.AI,2024-09-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-30_50_0.jpg,VERIFIED,"To determine the total amount shown on this receipt, we need to analyze the information provided. The receipt shows a payment of $50.00 for 50 Kodu.ai Credits x 1, with a subtotal of $50.00 and a tota",$50.00,AMOUNT_MISMATCH
283,422.72,CHAR GREEN HILLS,2024-10-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2024-10-15_422_72_3.jpg,MISMATCH,"TOTAL: $352.72
VERDICT: MISMATCH",$352.72,AMOUNT_MISMATCH
367,884.98,SOUTHWES 5262584463367,2024-11-27,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/southwes_5262584463367_2024-11-27_884_98.jpg,VERIFIED,"The total amount shown on this receipt is $884.98.

**TOTAL:** $884.98
**VERDICT:** MATCH",** $884.98,AMOUNT_MISMATCH
378,708.64,COSMOPOL-BLUE RIBBON,2024-12-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cosmopol_blue_ribbon_2024-12-03_708_64.jpg,VERIFIED,"TOTAL: $708.64
VERDICT: MATCH

The total amount shown on this receipt is $708.64, which matches the expected amount.",$708.64,AMOUNT_MISMATCH
398,17.55,PORT OF SUBS 0053,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/port_of_subs_0053_2024-12-06_17_55_3.jpg,VERIFIED,"TOTAL: $17.55
VERDICT: MATCH

The total amount shown on this receipt is $17.55, which matches the expected amount.",$17.55,AMOUNT_MISMATCH
416,34.07,UBER *TRIP,2024-12-09,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-09_34_07_3.jpg,VERIFIED,"TOTAL: $34.07
VERDICT: MATCH

The total amount shown on this receipt is indeed $34.07, which matches the expected amount.",$34.07,AMOUNT_MISMATCH
458,10.00,CALENDARBRIDGE,2025-01-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-01-08_10_0.jpg,VERIFIED,"TOTAL: $10.00
VERDICT: MATCH

The total amount shown on this receipt is $10.00, which matches the expected amount.",$10.00,AMOUNT_MISMATCH
466,9.00,SOURCEGRAPH INC,2025-01-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-01-13_9_0.jpg,VERIFIED,"TOTAL: $9.00
VERDICT: MATCH",$9.00,AMOUNT_MISMATCH
533,57.62,UBER *TRIP,2025-02-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2025-02-18_57_62.jpg,VERIFIED,"TOTAL: $57.62
VERDICT: MATCH

The total amount shown on this receipt is $57.62, which matches the expected amount.",$57.62,AMOUNT_MISMATCH
575,10.00,CLOUDFLARE,2025-03-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-03-14_10_0.jpg,VERIFIED,"The receipt shows a total amount of $10.00, which matches the expected amount. 

**Answer:** TOTAL: $10.00
VERDICT: MATCH",$10.00,AMOUNT_MISMATCH
581,15.99,METROPOLIS PARKING,2025-03-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-21_15_99_3.jpg,VERIFIED,"TOTAL: $15.99
VERDICT: MATCH

The total amount shown on this receipt is indeed $15.99, which matches the expected amount. The merchant listed on the receipt is Metropolis Parking, which aligns with th",$15.99,AMOUNT_MISMATCH
609,15.15,METROPOLIS PARKING,2025-04-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg,VERIFIED,"To determine the total amount shown on this receipt, we need to add up the individual charges. The receipt lists two charges: ""Parking Charges"" for $15.00 and a ""Service Fee"" of $0.99. 

**Total Calcu",$15.99,AMOUNT_MISMATCH
625,217.40,TST*GREEN HILLS GRILLE,2025-04-10,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg,VERIFIED,"**TOTAL:** $207.40
**VERDICT:** MATCH

The total amount shown on this receipt is $207.40, which matches the expected amount of $217.40.",** $207.40,AMOUNT_MISMATCH
682,13.13,SPOTIFY USA,2025-05-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg,MISMATCH,"TOTAL: $13.13
VERDICT: MATCH

The total amount shown on this receipt is indeed $13.13, which matches the expected amount. The merchant listed on the receipt is SPOTIFY USA, which aligns with the expec",$13.13,AMOUNT_MISMATCH
691,49.00,RESPONSIVE-MENU-PRO-4,2025-05-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg,VERIFIED,"TOTAL: $49.00
VERDICT: MATCH

The total amount shown on this receipt is $49.00, which matches the expected amount of $49.00 for the Responsive-Menu-Pro-4 product.",$49.00,AMOUNT_MISMATCH
694,60.00,AI.FYXER.COM,2025-05-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/aifyxercom_2025-05-15_60_0.jpg,MISMATCH,"TOTAL: $54.86
VERDICT: MISMATCH",$54.86,AMOUNT_MISMATCH
705,9.99,COWBOY CHANNEL PLUS,2025-05-26,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cowboy_channel_plus_2025-05-26_9_99_3.jpg,VERIFIED,"TOTAL: $9.99
VERDICT: MATCH

The total amount shown on this receipt is indeed $9.99, which matches the expected amount. The merchant is also correctly identified as COWBOY CHANNEL PLUS.",$9.99,AMOUNT_MISMATCH
764,20.00,VZWRLSS*PREPAID PYMNT,2025-07-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,VERIFIED,"TOTAL: $20.00
VERDICT: MATCH

The total amount shown on this receipt is indeed $20.00, which matches the expected amount.",$20.00,AMOUNT_MISMATCH
775,10.00,CLOUDFLARE,2025-08-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,MISMATCH,"TOTAL: $5.00
VERDICT: MISMATCH

The total amount shown on this receipt is $5.00, which does not match the expected amount of $10.00. The expected merchant is CLOUDFLARE, but the actual merchant is CLO",$5.00,AMOUNT_MISMATCH
42,1487.80,AUDREY - SEAN BROCK GROU,2024-07-19,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/audrey_sean_brock_grou_2024-07-19_1487_8.jpg,MISMATCH,"To determine the total amount on the receipt, we need to add up all the individual amounts listed.

1. **GL Delinquente Vermentino**: $45.00
2. **Carrot**: $85.00
3. **Crawfish Martini**: $18.00
4. **","** $1,201.00",NO_REASON_GIVEN
76,18.10,SH NASHVILLE - OTHER,2024-08-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,VERIFIED,"TOTAL: $84.35
VERDICT: MATCH",$84.35,NO_REASON_GIVEN
