_index,tx_merchant,tx_amount,tx_date,verdict,ocr_merchant,ocr_amount,ocr_date,reasoning,amount_match,merchant_match,confidence,receipt_url
851,Soho House,3120.0,2025-12-02,VERIFIED,SOHO HOUSE,3120.0,,The merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/soho_house_membership_2025_3120.png
835,claude,109.75,2025-12-01,MISMATCH,Claude,0.0,,"Receipt is a notification about tax changes, not a purchase receipt and does not contain the amount.",False,True,0.75,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gmail/claude_20251201_109_75_835.jpg
836,ideogram,20.0,2025-12-01,VERIFIED,Ideogram Al,20.0,2025-10-28,Merchant name matches the transaction description. Amount is an exact match.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_20_oct3_2025.png
837,midjourney,21.95,2025-12-01,MISMATCH,Midjourney Inc,32.93,2025-11-27,"Merchant matches, but amount and date do not.",False,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gmail/midjourney_20251201_21_95_837.pdf
824,midjourney,32.93,2025-11-21,VERIFIED,Midjourney Inc,32.93,2025-11-27,"Merchant names match, and amounts are identical.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_32.93_nov27_2025.png
799,NOTION LABS INC.,52.68,2025-11-01,MISMATCH,"Notion Labs, Inc.",52.68,2024-11-01,"The amounts match, and merchant names are similar, but the dates do not match. Transaction date: 2025-11-01. Receipt date: 2024-11-01. Also, there is a year difference between bank transaction date and receipt date.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/notion_labs_inc_2025-11-01_52_68.jpg
831,railway corporation,5.0,2025-10-28,VERIFIED,Railway Corporation,5.0,2025-10-27,"Merchant names are the same, amounts match.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/railway_5_oct2025.png
828,runway,158.04,2025-10-22,VERIFIED,"Runway AI, Inc.",158.04,2025-10-22,The amount and merchant name on the receipt match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/runway_158_oct2025_charge.png
829,runway,158.04,2025-10-22,VERIFIED,"Runway AI, Inc.",158.04,2025-10-22,Merchant name and amount are a match,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/runway_158_oct2025_refund.png
796,CLEAR *CLEARME.COM,334.0,2025-10-21,VERIFIED,CLEAR,334.0,2025-10-21,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2025-10-21_334_0.jpg
843,beautiful slides,158.04,2025-10-13,VERIFIED,"BEAUTIFUL SLIDES, INC.",158.04,2025-10-13,Amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/beautiful_slides_2025-10-13_158_04.png
792,ANTHROPIC,5.68,2025-10-04,VERIFIED,"Anthropic, PBC",5.68,2025-10-04,Amount and merchant match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-10-04_5_68.png
791,IDEOGRAM AI,20.0,2025-10-03,VERIFIED,Ideogram Al,20.0,2025-10-06,"Merchant names are the same, and the amounts are an exact match.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-10-03_20_0.png
844,claude,21.95,2025-09-29,VERIFIED,"ANTHROPIC, PBC",21.95,2025-09-29,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-09-29_21_95.png
847,midjourney,32.93,2025-09-27,VERIFIED,MIDJOURNEY INC,32.93,2025-09-27,Merchant name and amount are similar,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-09-27_32_93.png
830,taskade,120.0,2025-09-10,VERIFIED,TASKADE,120.0,2025-09-09,Merchant and amount match the bank transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/taskade_120_sep2025.png
