index,date,amount,merchant,receipt_url,receipt_total,receipt_merchant,reasoning
341,2024-11-15,29.4,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-15_29_4.jpg,15.99,metropolis,The receipt total ($15.99) and date (2025-02-26) do not match the bank transaction amount ($29.40) and date (2024-11-15). The merchant name does match.
351,2024-11-20,20.66,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-20_20_66.jpg,89.82,PMC,"The receipt total is $89.82, which does not match the bank transaction amount of $20.66. The merchant name 'PMC' does not reasonably match 'METROPOLIS PARKING'. There is no date on the receipt."
368,2024-11-29,123.17,GOLDEN NUGGET HOTEL LV,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-11-29_123_17.png,0.0,Golden Nugget Las Vegas,"The receipt date is 2024-11-26 (email sent date), but the bank transaction date is 2024-11-29. The receipt total is $0.00, while the bank transaction amount is $123.17. The merchant name matches. Sinc"
385,2024-12-04,46.32,CURB LV TAXI YCS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-04_46_32.jpg,23.33,National,The amount ($23.33) and merchant (National) do not match the bank transaction. The date (2025-04-11) also does not match the bank transaction date (2024-12-04).
390,2024-12-05,34.44,DESERT CAB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-05_34_44.jpg,46.83,Uber,"The amount ($46.83) and merchant (Uber) do not match the bank transaction (DESERT CAB, $34.44). The date (2024-12-08) is also not within 7 days of the bank transaction date (2024-12-05)."
395,2024-12-06,29.87,CURB LV TAXI YCS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_29_87.jpg,18.89,844167307884,"The receipt total is $18.89, which is significantly different from the bank transaction amount of $29.87. The date on the receipt (2024-12-06) matches the bank transaction date. The merchant name on t"
420,2024-12-13,9.0,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2024-12-13_9_0.jpg,9.00,"Sourcegraph, Inc.","The amount matches ($9.00), and the merchant name is a reasonable match (SOURCEGRAPH INC vs Sourcegraph, Inc.). However, the date on the receipt (2024-11-13) is not within 7 days of the bank transacti"
422,2024-12-14,5.0,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-12-14_5_0.jpg,5.00,CLOUDFLARE,"The amount and merchant match, but the receipt date (2025-01-14) is not within 7 days of the bank transaction date (2024-12-14)."
426,2024-12-16,45.24,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-12-16_45_24.jpg,45.24,Soho House Nashville,"The amount matches ($45.24). The merchant name is similar (SH NASHVILLE vs Soho House Nashville). However, the date on the receipt (2024-11-08) is not within 7 days of the bank transaction date (2024-"
433,2024-12-19,130.12,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-12-19_130_12_3.jpg,130.01,Corner Pub Green Hills,"The receipt total of $130.01 matches the bank transaction amount of $130.12. The merchant name 'Corner Pub Green Hills' reasonably matches 'CORNER PUB'. However, the receipt date of 2023-04-18 does no"
